Date,Symbols,Close,High,Low,Open,Volume
2020-09-14,GOOGL,1508.83,1557.0,1505.11,1531.6471,2133007.0
2020-09-14,PFE,34.705,35.199,34.0206,34.0969,29914023.903148
2020-09-14,BNTX,67.48,69.65,66.77,67.5,3373555.0
2020-09-14,MRNA,63.67,63.85,60.115,60.15,8930779.0
2020-09-15,AMZN,157.806,158.751,155.446,156.808,80430700.0
2020-09-15,GOOGL,1535.12,1550.99,1522.1,1527.89,1152055.0
2020-09-15,PFE,34.6574,35.0244,34.5165,34.8736,22263081.593524
2020-09-15,BNTX,66.92,70.0,66.15,70.0,3168285.0
2020-09-15,MRNA,66.88,68.41,64.2293,65.0274,9101184.0
2020-09-16,AMZN,153.905,159.362,153.708,158.999,90623780.0
2020-09-16,GOOGL,1512.09,1554.37,1511.59,1542.48,1107169.0
2020-09-16,PFE,34.4897,34.9867,34.4322,34.9589,22507848.507889
2020-09-16,BNTX,66.04,67.29,65.4078,65.51,2237787.0
2020-09-16,MRNA,68.84,70.04,66.73,67.64,11398006.0
2020-09-17,AMZN,150.436,151.472,148.628,150.462,128981000.0
2020-09-17,GOOGL,1487.04,1498.66,1462.46,1485.81,2000356.0
2020-09-17,PFE,34.5264,34.6673,34.2735,34.4897,18105288.291934
2020-09-17,BNTX,66.78,68.71,65.15,66.82,2860010.0
2020-09-17,MRNA,67.89,70.9,64.6,68.5,13275199.0
2020-09-18,AMZN,147.746,151.89,145.277,151.587,177851600.0
2020-09-18,GOOGL,1451.09,1495.2,1431.62,1488.3,3152788.0
2020-09-18,PFE,34.3489,34.7615,34.2923,34.4897,32068184.865357
2020-09-18,BNTX,67.0,68.44,65.17,68.01,2608880.0
2020-09-18,MRNA,69.87,70.0,66.1,68.28,13206193.0
2020-09-21,AMZN,148.023,148.1,143.55,145.325,122358500.0
2020-09-21,GOOGL,1430.14,1440.06,1402.68,1431.62,2845405.0
2020-09-21,PFE,33.7766,34.208,33.1715,34.1059,26922518.681029
2020-09-21,BNTX,66.12,66.2,62.3,65.56,2118737.0
2020-09-21,MRNA,69.26,69.48,65.46,68.6,8223034.0
2020-09-22,AMZN,156.45,156.7,150.01,151.692,138976320.0
2020-09-22,GOOGL,1459.82,1463.97,1429.495,1450.32,1697542.0
2020-09-22,PFE,33.9928,34.0672,33.5137,33.5802,22995104.9146
2020-09-22,BNTX,67.05,67.7573,63.61,65.38,1572284.0
2020-09-22,MRNA,68.72,69.19,66.67,67.5,6303612.0
2020-09-23,AMZN,149.993,156.35,149.619,156.022,113053300.0
2020-09-23,GOOGL,1409.39,1453.08,1402.68,1452.09,1886299.0
2020-09-23,PFE,33.7587,34.1118,33.724,34.0771,23374774.050162
2020-09-23,BNTX,63.83,67.28,63.6861,67.25,1677999.0
2020-09-23,MRNA,67.16,68.62,65.77,67.865,6919352.0
2020-09-24,AMZN,150.99,153.465,148.25,148.89,110587840.0
2020-09-24,GOOGL,1422.86,1437.99,1402.15,1402.68,1727611.0
2020-09-24,PFE,33.5325,33.7954,33.3262,33.7111,21105721.734237
2020-09-24,BNTX,62.83,63.93,58.81,62.62,2863427.0
2020-09-24,MRNA,65.17,66.77,63.64,65.5,5565191.0
2020-09-25,AMZN,154.757,155.077,149.95,152.743,92304040.0
2020-09-25,GOOGL,1439.06,1445.94,1407.68,1425.05,1516677.0
2020-09-25,PFE,33.8053,33.8986,33.3084,33.3262,14534930.745676
2020-09-25,BNTX,66.69,66.8711,61.27,61.27,1670486.0
2020-09-25,MRNA,69.47,69.73,65.67,65.8865,9190629.0
2020-09-28,AMZN,158.703,158.752,155.858,157.442,84483300.0
2020-09-28,GOOGL,1458.66,1472.99,1446.28,1471.99,1539236.0
2020-09-28,PFE,34.1227,34.2973,33.9085,33.9085,15221587.094276
2020-09-28,BNTX,66.5,67.8,65.72,66.99,1750004.0
2020-09-28,MRNA,70.55,71.5,69.1,69.59,7337397.0
2020-09-29,AMZN,157.244,159.413,156.627,158.77,70067960.0
2020-09-29,GOOGL,1466.02,1472.0,1454.0,1463.91,1591112.0
2020-09-29,PFE,33.9174,34.2636,33.7904,34.1604,13690305.590761
2020-09-29,BNTX,66.86,67.1087,65.76,66.6,854092.0
2020-09-29,MRNA,70.52,71.34,69.5851,70.46,6294318.0
2020-09-30,AMZN,157.436,160.644,156.7,157.057,97922020.0
2020-09-30,GOOGL,1465.6,1486.1975,1455.755,1460.935,2046170.0
2020-09-30,PFE,34.4134,34.6564,33.9928,34.0106,22895980.096051
2020-09-30,BNTX,69.23,69.47,67.0984,67.4,1746815.0
2020-09-30,MRNA,70.75,75.39,70.16,72.51,15690706.0
2020-10-01,AMZN,161.063,161.2,158.6,160.4,99438440.0
2020-10-01,GOOGL,1487.9,1495.07,1476.8,1483.6608,1644221.0
2020-10-01,PFE,34.1059,34.7794,33.9105,34.6108,22785766.581273
2020-10-01,BNTX,72.71,72.87,69.31,70.0,2371702.0
2020-10-01,MRNA,70.03,70.2,68.16,69.57,6838969.0
2020-10-02,AMZN,156.25,159.79,156.15,157.682,112261960.0
2020-10-02,GOOGL,1455.6,1479.03,1447.35,1459.63,1561132.0
2020-10-02,PFE,34.1138,34.3767,33.7855,33.8133,21714656.393747
2020-10-02,BNTX,73.7,75.0,71.16,71.85,2327847.0
2020-10-02,MRNA,68.81,72.77,67.25,67.9,8004919.0
2020-10-05,AMZN,159.96,160.127,157.042,157.292,75506640.0
2020-10-05,GOOGL,1482.83,1484.7,1460.09,1462.65,1080058.0
